RespondentID,knowledge,confidence,motivation,understanding,recognize_quantity,respond_needs,aware_cog_domains,support_capacity,relevant_own_learning,session_valuable
123464,3,3,3,3,3,3,3,Better able to see the interconnections and relationships between different cognitive domains.,Using open ended problems more.,Strongly Agree
123466,4,4,5 - Significantly,4,4,4,5 - A Great Deal,Allows you to identify specific needs and respond appropriately.,I have made some goals- work closer with teachers to understand psych assessments and all the rich info that comes from them.   -work with teachers to help them determine where their students lie on the developmental continuum.,Agree
123479,3,5 - Significantly,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,It provides a well laid out continuum reference to help develop student understanding from where they are at and assists in moving them where they need to be.,I really enjoyed the sessions at the school where we were able to plan and then observe in the classroom(s).,Strongly Agree
123521,4,4,5 - Significantly,4,4,4,3,By noticing their needs,Understanding ways to help students understand concepts and show their thinking in various ways with a number of tools,Agree
123529,5 - Significantly,4,5 - Significantly,4,4,4,4,Helped me understand and are more aware of different processes and thinking of the students.,The learning and talking between colleagues as well as the different actitvies we can take and use,Strongly Agree
123547,1 - Not at All,4,2,4,4,4,3,NA,NA,Disagree
123565,5 - Significantly,5 - Significantly,5 - Significantly,4,3,3,3,NA,"The CILM experience has been invaluable - having the opportunity to work as a team to plan, implement, assess, and reflect upon student learning   Next year, it would be beneficial to spend more time learning about how to develop conceptual understanding in students with special needs who are a part of the regular classroom program - how is it possible to reach ALL of our kids in the limited time we have with them.",Strongly Agree
123584,3,3,4,3,3,3,3,NA,NA,Neither Agree or Disagree
123602,1 - Not at All,1 - Not at All,1 - Not at All,5 - A Great Deal,4,4,3,Understanding the role of various cognitive domains helps to understand why students are advancing in mathematical thinking and better address this.,The in school sessions were useful but the sessions held at JB were mostly irrelevant and a waste of time. No sincere attempt to understand and address what teachers need and respond. A pre-arranged program with little or no differentiation. Consultants looked like they were being forced to present a program they didn't believe in. Strategic leadership was significantly lacking. Whoever was in charge needs to be given another role.,Strongly Disagree
123639,3,3,4,3,3,3,3,NA,"Collaborating with other teachers, coaches, and Ministry leads to develop lessons to address quantity relationships and being able to look at the misconceptions and where students are on the continuum",Agree
123657,4,4,4,4,3,3,3,NA,using manipulatives,Agree
123676,2,2,2,4,4,4,4,NA,....reviewing concepts but overall I think the money can be better spent on multi level resources. I did not enjoy the workshops. I did like the team teaching part of the CLi-m session and networking with other schools to find out what they are doing in their classrooms,Disagree
123694,4,4,4,3,3,3,3,NA,Planning quantity relationships throughout the strands,Agree
123713,3,4,4,4,4,4,3,NA,Time to work with colleagues from other schools. Shared classroom experiences.,Strongly Agree
123749,4,4,4,4,4,4,4,NA,Number talks,Agree
123768,5 - Significantly,4,5 - Significantly,3,3,3,4,NA,Part Part Whole decomposition of numbers.,Strongly Agree
123786,4,4,4,4,4,4,4,NA,NA,Neither Agree or Disagree
123805,3,4,3,3,3,3,2,NA,NA,Neither Agree or Disagree
123823,2,2,3,4,4,3,3,NA,How to use the manipulatives in many different ways.  Helps to build flexibility and find connections.,Agree
123841,5 - Significantly,4,5 - Significantly,5 - A Great Deal,4,4,5 - A Great Deal,It gave me the opportunity to assess the students where they are at and support their learning in the continuum.,Using the manipulatives strategically and at appropriate time to deepen students' understanding.,Strongly Agree
123860,3,4,4,3,3,3,4,NA,The diagnostic map,Agree
123878,4,4,4,4,4,4,2,I was ill.,How to develop my understanding of quantity and how to recognize student understanding of math and how to support the child depending on the phase of development they are at.,Agree
123897,4,4,4,4,4,4,3,"helps determine next steps for instruction, where and how to lead the student towards new learning","Creating a mathematical community of thinkers. Flexible thinking, through number/math talks, open-ended questions.",Neither Agree or Disagree
123915,4,4,4,3,4,4,4,Purposeful planning and honouring where students are and where they need to go.,Use of manipulatives and resources to further my understanding of quantity relationships and address student misconceptions.,Agree
123933,4,5 - Significantly,5 - Significantly,4,4,3,2,Needs further consideration on my part.,Continuum of developing an understanding of quantity.,Strongly Agree
123952,4,4,5 - Significantly,5 - A Great Deal,4,4,4,NA,I have enjoyed the math content and collaboration with other teachers.,Agree
123970,3,3,2,4,3,3,3,Understanding the continuum of learning and understanding deepened my understanding of my intention when teaching.,"Reflecting and moving forward with the use of the tasks presented today. I can see how I can manipulate them to meet my students and extend them. For example, the pentominos activity.",Agree
123989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124007,4,4,4,4,3,3,4,"The ideas that cardinality - being able to count a set, does not automatically lead to the idea of number of items or quantity!",I love being able to share ideas and strategies with teachers from other schools.,Agree
124025,2,4,4,3,3,2,3,"allowed me to think outside of the box when observing my students. that there isnt always a ""right or wrong"" answer, but rather the processes involved in students' thinking is the most important here.","the resources provided, the comfort in knowing I can take the risk as a teacher to move backwards on the continuum in order to move forward with my students.",Agree
124044,4,4,4,3,3,3,3,NA,NA,Disagree
124062,4,4,4,4,4,4,4,so good to see it in a continuum.,the manipulatives,Strongly Agree
124081,3,3,3,3,2,2,4,NA,NA,Agree
124099,4,3,3,4,4,3,3,NA,NA,Neither Agree or Disagree
124117,3,3,3,3,3,3,3,I don't get it,Collaboration,Neither Agree or Disagree
124136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124154,4,4,4,3,3,3,3,NA,use of number talks and challenging students to try different strategies to solve problems,Neither Agree or Disagree
124173,3,4,5 - Significantly,3,4,4,5 - A Great Deal,N/A,Subitizing is the area that has been a focus of mine. I have noticed that students struggle with identifying numbers on sight.,Neither Agree or Disagree
124191,2,3,3,3,3,3,2,NA,Networking and sharing with other teachers in similar and different school environments.,Neither Agree or Disagree
124209,3,4,4,4,4,4,4,NA,NA,Agree
124228,4,4,4,4,4,4,4,Knowing where they are helps to move them to the next step and knowing what that next step is,Books and resources,Agree
124246,4,4,5 - Significantly,NA,NA,NA,3,I was more equipped to notice and name the learning....understandings/misconceptions.,Leaving with a stronger sense of key understandings and tasks that support these concepts.,Agree
124265,5 - Significantly,4,4,4,4,3,4,It allowed me to identify and label what they were doing and how to connect it to math concepts in the curriculum. Then it aids in next steps.,The bookmark to summarize mathematical concepts. Loved the poster of key understandings of the concept of quantify.,Agree
124283,5 - Significantly,5 - Significantly,5 - Significantly,4,4,4,4,You need to understand where students are and what they know in order to teach them an move their learning forward.,Exposure to other classrooms and other children to talk about the learning and experiance another perspective first hand. hands on activities are more engaging and authentic.,Strongly Agree
124301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124320,3,4,4,4,4,3,3,NA,Being able to collaborate with colleagues and share information and activities.,Agree
124338,4,5 - Significantly,5 - Significantly,4,3,3,4,Unsure still.,Noticing and naming the learning.,Agree
124357,3,3,3,3,3,2,NA,NA,NA,Neither Agree or Disagree
124375,5 - Significantly,5 - Significantly,5 - Significantly,3,4,4,3,NA,Breaking down number sense and activities that match each area,Strongly Agree
124393,1 - Not at All,1 - Not at All,2,3,3,3,1 - None,no idea?,sorry,Disagree
124412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124430,1 - Not at All,1 - Not at All,1 - Not at All,4,4,4,4,NA,NA,Strongly Disagree
124449,3,3,4,3,3,3,3,NA,I am new to the field.The information has increased my confidence in teaching math to my students,Agree
124467,4,4,4,NA,NA,NA,4,Try to support the variety of thought processes and ways of learning with a variety of activities and prompts appropriate to the student.,"Focusing on 5 and 10 and counting on from 5, vs having to go back and count from 1.",Agree
124485,5 - Significantly,4,4,4,4,4,5 - A Great Deal,Developmental needs have a significant impact on student mathematical thinking in kindergarten.,Learned a great deal when a group of colleagues did a math activity with all my students providing significant information about their learning,Neither Agree or Disagree
124504,3,2,4,3,3,3,3,NA,"tasks, classroom partnering, school partnering, task sharing, in school training and time to discuss",Neither Agree or Disagree
124522,4,4,4,3,4,3,3,By having a better understanding of the development of quantity.,more manipulatives usage,Agree
124541,4,4,5 - Significantly,4,4,4,4,NA,Subitizing!!!,Agree
124559,2,2,4,4,3,1 - None,2,I don't even know what cognitive domains are,It is a nice chance to explore the curriculum document and interact with staff at your own school and others,Disagree
124577,2,2,2,4,5 - A Great Deal,5 - A Great Deal,3,Helps me remember to differentiate my teaching to suit the wide variety of students.,"Some of the practical ideas...using 10 frames, rek reks, number talks, open ended questions to get at student thinking.",Disagree
124596,4,4,4,4,4,4,4,using the continuum to plan for future learning and as diagnostic assessment,the bookmark with the quantity relationships on it.,Disagree
124614,NA,NA,NA,4,3,3,3,NA,Math activities to use in class.,Disagree
124688,2,2,2,4,3,3,4,We need to understand cognitive domains so we can meet the students at their level of understanding and readiness,Networking with grade partners and sharing ideas that work,Disagree
124706,5 - Significantly,5 - Significantly,5 - Significantly,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,5 - A Great Deal,The framework of the skills is guiding every strand and every lesson we approach.,All of it.,Strongly Agree
124725,4,5 - Significantly,5 - Significantly,4,4,4,4,NA,The bookmark as a reference tool,Strongly Agree
124743,4,4,4,4,4,4,4,NA,Number talks,Agree
